;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios
;Municípioarrow_upward;UFarrow_upward;Smartline CAT (2012 a 2020)arrow_upward;Variação CAT (2019-2020)arrow_upward;Smartline B91 (2012 a 2020)arrow_upward;Variação B91 (2019-2020)arrow_upward;Smartline B31 (2012 a 2020)arrow_upward;Variação B31 (2019-2020)arrow_upward;Smartline SINAN (2007 a 2020)arrow_upward;Variação SINAN (2019-2020)arrow_upward
4;Lajedinho;BA;2  3;+50%;1  0;sem incidência;17  24;-4%;0  9;+80%
5;Biritinga;BA;2  3;de 0 para 3;3  1;-80%;136  62;-44,6%;1  6;+50%
6;Lençóis;BA;3  3;-50%;4  0;de 3 para 0;46  41;-18%;2  1;-80%
7;Pilão Arcado;BA;1  3;-40%;7  1;-75%;150  81;-29,6%;0  1;-83,3%
8;Ibiassucê;BA;16  2;-50%;7  4;-63,6%;113  244;+57,4%;110  0;sem incidência
9;São Domingos;BA;1  2;0%;5  1;-83,3%;105  28;-63,6%;0  13;+160%
0;Nova Soure;BA;1  2;0%;2  0;de 2 para 0;103  75;-46,4%;0  10;+42,9%
1;Santa Inês;BA;0  2;de 0 para 2;2  0;de 3 para 0;18  41;+7,9%;5  6;+20%
2;Caatiba;BA;0  2;-33,3%;5  3;-57,1%;65  39;-38,1%;7  10;+25%
3;Firmino Alves;BA;0  2;-50%;4  1;-85,7%;43  17;-34,6%;0  2;-33,3%
4;Maiquinique;BA;3  2;-71,4%;8  1;-83,3%;31  27;-22,9%;4  2;-60%
5;Gongogi;BA;1  2;0%;2  1;-50%;19  28;-6,7%;0  5;-37,5%
6;Andaraí;BA;2  2;+100%;5  0;de 3 para 0;76  14;-79,1%;21  31;+342,9%
7;Iuiú;BA;4  2;0%;8  1;-80%;81  55;-38,9%;0  3;de 0 para 3
8;Sátiro Dias;BA;1  2;0%;0  0;sem incidência;69  28;-50,9%;0  1;-75%
9;Lapão;BA;2  2;+100%;4  3;-62,5%;213  151;-9%;0  0;de 1 para 0
0;Cansanção;BA;3  2;0%;0  2;-50%;156  146;-44,3%;0  26;-48%
1;Wenceslau Guimarães;BA;7  2;-66,7%;33  2;-83,3%;130  93;-44,6%;0  44;+25,7%
2;Cardeal da Silva;BA;14  2;-75%;1  1;-50%;20  17;-22,7%;0  2;-33,3%
3;Ibirataia;BA;9  2;-33,3%;17  6;0%;83  122;+13%;0  3;-40%
4;São Félix do Coribe;BA;1  2;-75%;5  4;-66,7%;88  154;+1,3%;0  17;+70%
5;Pindobaçu;BA;3  2;-80%;5  1;-83,3%;100  97;-26,5%;0  7;-50%
6;Serrolândia;BA;2  2;0%;5  0;de 2 para 0;109  60;-35,5%;1  33;+560%
7;Canarana;BA;5  2;-33,3%;2  1;-88,9%;242  174;+20,8%;5  22;+450%
8;Santana;BA;5  2;-80%;34  2;-86,7%;169  216;-19,7%;0  7;+600%
9;Barra do Mendes;BA;2  2;de 0 para 2;4  1;-66,7%;97  83;-5,7%;1  34;+277,8%
0;Mascote;BA;6  2;0%;5  1;-66,7%;22  19;+11,8%;0  9;de 0 para 9
1;Itiruçu;BA;2  2;+100%;6  1;0%;50  49;-24,6%;0  21;+5%
2;Brejolândia;BA;3  2;+100%;0  1;-50%;75  63;-34,4%;13  9;+28,6%
3;Queimadas;BA;0  2;-33,3%;8  2;-60%;77  114;-15,6%;0  3;-50%
4;Coribe;BA;2  2;-33,3%;5  4;-55,6%;104  130;-11,6%;1  10;-41,2%
